"","WT 1","WT 2","WT 3","KO 1","KO 2","KO 3"
"ENSMUSG00000001227",6366,7081,9819,5056,7371,6967
"ENSMUSG00000001228",10,10,13,10,29,13
"ENSMUSG00000001229",3379,4254,5221,2741,4055,3988
"ENSMUSG00000001240",287,359,408,366,543,408
"ENSMUSG00000001247",127,158,208,108,169,160
"ENSMUSG00000001248",4279,5378,6478,3697,4405,4672
"ENSMUSG00000001249",52,82,102,50,68,92
"ENSMUSG00000001260",991,954,1935,1032,1622,1339
"ENSMUSG00000001270",8405,11941,14546,7489,12771,11226
"ENSMUSG00000001280",1762,1887,3108,1820,1908,2219
"ENSMUSG00000001281",16,34,38,20,22,18
"ENSMUSG00000001285",557,793,919,540,678,719
"ENSMUSG00000001288",469,560,709,402,570,535
"ENSMUSG00000001289",424,569,654,404,544,441
"ENSMUSG00000001300",2785,3239,4769,2165,3380,3570
"ENSMUSG00000001305",298,387,534,266,350,346
"ENSMUSG00000001313",1783,2195,3372,1799,2860,2393
"ENSMUSG00000001323",2537,3053,4032,2147,2856,3116
"ENSMUSG00000001333",82,75,114,36,82,79
"ENSMUSG00000001334",2962,3635,6164,2805,4684,3854
"ENSMUSG00000001348",10,14,26,11,19,9
"ENSMUSG00000001349",28,24,29,8,23,33
"ENSMUSG00000001366",2730,3521,5236,2813,4233,3524
"ENSMUSG00000001376",2600,3020,4065,2185,2891,3141
"ENSMUSG00000001379",1688,2111,2671,1514,1813,2113
"ENSMUSG00000001380",3041,3773,5083,2651,3645,3718
"ENSMUSG00000001383",7507,9576,12648,5983,9243,8675
"ENSMUSG00000001403",5,3,9,6,13,9
"ENSMUSG00000001415",4099,5048,7373,3804,5483,5621
"ENSMUSG00000001416",1832,2477,3210,1529,2263,2384
"ENSMUSG00000001417",1,4,6,4,1,2
"ENSMUSG00000001418",809,1108,1466,775,1101,1020
"ENSMUSG00000001419",13413,15634,21403,10274,14615,16827
"ENSMUSG00000001420",9,15,16,5,17,9
"ENSMUSG00000001424",2989,3371,4518,2426,3203,3350
"ENSMUSG00000001435",323,354,497,138,193,276
"ENSMUSG00000001436",778,886,1206,524,819,908
"ENSMUSG00000001440",6789,8288,11480,6012,8051,8713
"ENSMUSG00000001441",5416,6231,8517,4242,6009,6388
